denominator,k,pct,pct_lo,pct_hi,tau2,I2
apportioned census housing,4,-9.37967539196637,-14.08867100759691,-4.41256900132978,0.0008946841352132864,0.8625065214890602
residential footprint count,4,-9.910721204451999,-15.68742266784804,-3.738227311822784,0.0007681572131281061,0.48142416541047445
