outcome,mass,n_events,pct,lo,hi,z
1 pocketable (~0.3 kg),1.0,1997,-45.40458590738581,-64.59182945162631,-15.820015725694747,-2.73951920825535
2 light (~1-3 kg),2.0,112624,-1.0407563281202736,-11.050073819545014,10.094885163179313,-0.19229908859724054
3 medium (~5-10 kg),3.0,54979,-14.480274270039061,-21.228880498510282,-7.153490578619637,-3.729768418627032
4 heavy (~10-20 kg),4.0,39653,-5.4488626182891515,-10.979741105330998,0.42565244337351427,-1.8218859128139582
5 very heavy / tools (20 kg+),5.0,7929,-17.961685223673975,-26.36713907315088,-8.596718820612114,-3.5898819510263342
motor vehicle theft (self-propelled),,41395,-6.387544682968094,-12.485799223145666,0.1356547016652998,-1.9205561623283887
vandalism / arson (nothing to carry),,45710,-9.66684703975047,-16.509090229101574,-2.2638686519126483,-2.529806205457195
