radius_m,pct,lo,hi,z
50,-9.106973003887308,-13.220468938719366,-4.798490433394242,-4.041117987318988
100,-8.943362318296389,-13.140500146744504,-4.543414595930484,-3.8912918170624304
250,-5.957662565711363,-11.374395324616737,-0.20986302436915016,-2.029408985408483
500,-6.3151249818079735,-12.773498814674467,0.6214360074645153,-1.790005589092982
1000,-7.9296102022309745,-16.009240490727127,0.9272535102774482,-1.7630365308048204
2000,-10.358846803265664,-20.49651238363416,1.0714949413901609,-1.7859398923451262
