city,klass,loot_kg,n_events,beta,se,irr,pct,lo,hi,z
cincinnati-oh,MASS_3,7.0,46425,0.09657571642014795,0.041233965359535184,1.1013929715197237,10.139297151972372,1.5881942741260868,19.410182096524142,2.342139922223493
cincinnati-oh,MASS_4,14.0,11754,0.020774036397783593,0.06085046282725581,1.0209913186936832,2.0991318693683203,-9.37978468612929,15.032089610176458,0.3413948790620964
cos-seattle,MASS_2,2.0,69966,-0.18664674896093933,0.06095410067881092,0.8297367900048248,-17.02632099951752,-26.369937538462217,-6.497004393124895,-3.0620868306210958
cos-seattle,MASS_3,7.0,62525,-0.04542361686619985,0.027868532870618884,0.955592590941111,-4.440740905888896,-9.520415040976815,0.9241145696126329,-1.629924943558434
cos-seattle,MASS_4,14.0,47737,-0.07240561520711873,0.041987613270178206,0.9301535348660136,-6.984646513398641,-14.332900497610368,0.9939175540321088,-1.7244517982293834
kcmo,MASS_2,2.0,23386,-0.029158331694063785,0.04237499064670358,0.9712626706276852,-2.873732937231477,-10.61464337464133,5.5375523430192475,-0.688102374751369
kcmo,MASS_3,7.0,15678,0.051468272336605315,0.02286491326325109,1.0528157823774622,5.281578237746221,0.6675222989140472,10.107117599637693,2.2509716850457537
kcmo,MASS_4,14.0,10922,0.042039608507159466,0.02640198684093898,1.0429357870622662,4.2935787062266195,-0.966131242833812,9.832632975522394,1.5922895788271796
kcmo,MASS_5,25.0,1332,0.05784548804375804,0.03622469632710254,1.0595512697223786,5.955126972237856,-1.3068769009150105,13.751481148610335,1.5968522557490505
montgomerycountymd,MASS_2,2.0,39601,0.19582321215539936,0.04799011741766978,1.2163118571743339,21.63118571743339,10.712059018504739,33.62722606898707,4.08049037369719
montgomerycountymd,MASS_3,7.0,32641,0.19067299821402883,0.024482439910148326,1.2100636943888858,21.006369438888584,15.336922053719215,26.954501507859696,7.788153423997259
montgomerycountymd,MASS_4,14.0,8432,0.21349734713077945,0.028538727433844578,1.2380002140110669,23.800021401106687,17.06526822655141,30.922224252319296,7.480969416933048
sfgov,MASS_3,7.0,103024,-0.1059225722821444,0.050351589562235344,0.8994942911699257,-10.050570883007426,-18.503628468978285,-0.7207358257286467,-2.103658955021121
sfgov,MASS_4,14.0,25621,-0.07473020728482403,0.034582110794054835,0.9279938185301,-7.200618146990001,-13.2822109974577,-0.6925179786549607,-2.1609498543874666
