city,slope_sd,qualifies,beta,se,pct_per_deg,lo,hi,z,n,events
pittsburgh,4.823143,True,-0.09780416016272578,0.01019457763257654,-9.317352088470566,-11.111333036717841,-7.487164413847214,-9.593743231715145,21674,44316
data_sfgov_org,4.5397367,True,-0.07277839435673501,0.010629640404390859,-7.01931423566916,-8.936442532097166,-5.0618253272997515,-6.8467409609333485,7276,170441
cos-data_seattle_gov,4.0962243,True,-0.05895734559825144,0.006744685736940298,-5.725301939204597,-6.963372812381263,-4.4707556247598585,-8.741303582959407,18888,249711
data_cincinnati-oh_gov,3.3620226,True,-0.060041563753788524,0.008469877334325924,-5.827460887149261,-7.377910320440373,-4.251057672708214,-7.088835101596774,24953,68462
baltimore,2.1547163,False,-0.08052234015955671,0.01185842385772541,-7.7365708443766446,-9.856275536124349,-5.567021884412371,-6.790307137410914,10180,96511
data_kcmo_org,1.9838147,False,-0.14995598469248508,0.016932441180132735,-13.925413841492196,-16.735139570981485,-11.020875502766813,-8.856134983562338,41480,77958
data_montgomerycountymd_gov,1.9561207,False,-0.242742582881028,0.016503467389698743,-21.552657532833052,-24.04957635112566,-18.973650909290452,-14.708580757553099,39188,93906
charlotte,1.8100202,False,-0.20628025079610302,0.019126159163806004,-18.639496912815602,-21.633020151842974,-15.53162472988403,-10.785241774337214,54864,149577
data_cityofchicago_org,0.9250653,False,-0.22016191872407803,0.022558106128661742,-19.761113433781617,-23.231501574883374,-16.133843315085272,-9.759769613121291,62847,187862
