city,unit,model,outcome,target,spec,beta,se,z,pct,lo,hi,n,se_ratio_vs_naive,note,se_ratio_vs_cluster,beta_shift_vs_cluster,pct_shift_vs_cluster,lambda_spatial
cos-seattle,cell,pooled per-degree slope,n_total,slope_deg,0. naive (independence),-0.058957345598251984,0.0008338763602373511,-70.70274252824557,-5.725301939204641,-5.879258438341351,-5.571093608184419,18063,1.0,"reference denominator only; assumes independence, not to be quoted",,,,
cos-seattle,cell,pooled per-degree slope,n_total,slope_deg,a. cluster-robust (primary),-0.058957345598251984,0.006745256026245415,-8.740564534370858,-5.725301939204641,-6.96347680559839,-4.470648845259706,18063,8.089036154383216,SEs clustered on block group,,,,
cos-seattle,cell,pooled per-degree slope,n_total,slope_deg,b. Conley HAC 500 m,-0.058957345598251984,0.006308000981090833,-9.346438875800013,-5.725301939204641,-6.883708478224482,-4.55248432680857,18063,7.564671792944639,Bartlett kernel in distance; point estimate unchanged,0.9351759157171726,,,
cos-seattle,cell,pooled per-degree slope,n_total,slope_deg,b. Conley HAC 1000 m,-0.058957345598251984,0.007302754844016869,-8.073302042523803,-5.725301939204641,-7.065082076879792,-4.3662070933721875,18063,8.757599078523155,Bartlett kernel in distance; point estimate unchanged,1.0826505051257145,,,
cos-seattle,cell,pooled per-degree slope,n_total,slope_deg,b. Conley HAC 2000 m,-0.058957345598251984,0.00848482120747778,-6.948566641132301,-5.725301939204641,-7.2801491129549145,-4.144381063754143,18063,10.17515498947913,Bartlett kernel in distance; point estimate unchanged,1.2578946113333302,,,
cos-seattle,cell,pooled per-degree slope,n_total,slope_deg,b. Conley HAC 4000 m,-0.058957345598251984,0.00997325249844452,-5.911546469664462,-5.725301939204641,-7.550248906520651,-3.8643307382468683,18063,11.960109404715316,Bartlett kernel in distance; point estimate unchanged,1.4785580354013472,,,
cos-seattle,cell,pooled per-degree slope,n_total,slope_deg,c. eigenvector spatial filter (50 EVs),-0.05903649304595184,0.006017855876090047,-9.810220494065629,-5.732763245663253,-6.838113452808736,-4.614298243125381,18063,7.216724400697903,Moran eigenvectors as covariates; SEs still clustered,0.8921612245220797,-7.914744769985799e-05,-0.0074613064586115385,
cos-seattle,cell,pooled per-degree slope,n_total,slope_deg,d. Gaussian SEM on log rate,-0.03472666971821212,0.002993337537909251,-11.601321026584785,-3.413061846870402,-3.9780727063191357,-2.844726358555194,18063,,"LINEAR APPROXIMATION, not comparable to Poisson beta",,,,0.06314853574251292
cos-seattle,cell,relative height (TPI 500 m),n_total,tpi_500_z,0. naive (independence),-0.11258241217580123,0.0028816311002048192,-39.06898845164433,-10.647629315868079,-11.150868748375753,-10.141539546808275,18063,1.0,"reference denominator only; assumes independence, not to be quoted",,,,
cos-seattle,cell,relative height (TPI 500 m),n_total,tpi_500_z,a. cluster-robust (primary),-0.11258241217580123,0.023810265428678257,-4.72831403383691,-10.647629315868079,-14.721731750197032,-6.378889830552281,18063,8.26277361699278,SEs clustered on block group,,,,
cos-seattle,cell,relative height (TPI 500 m),n_total,tpi_500_z,b. Conley HAC 500 m,-0.11258241217580123,0.020872241772447415,-5.393882142761331,-10.647629315868079,-14.229237935657002,-6.916460169897465,18063,7.243203951735484,Bartlett kernel in distance; point estimate unchanged,0.876606849888698,,,
cos-seattle,cell,relative height (TPI 500 m),n_total,tpi_500_z,b. Conley HAC 1000 m,-0.11258241217580123,0.025418598636709065,-4.429135287309341,-10.647629315868079,-14.990133987974662,-6.083299252052243,18063,8.820906546609097,Bartlett kernel in distance; point estimate unchanged,1.0675478907552896,,,
