city,unit,model,outcome,target,n_events,n_block_groups,median_bg_diagonal_m,morans_I,expected_I,z_norm,p_norm,p_sim,n_units,cross_bg_morans_I,cross_bg_expected_I,cross_bg_z_norm,cross_bg_p_norm,cross_bg_p_sim,cross_bg_n_units,esf_morans_I,esf_z_norm,esf_p_norm,esf_cross_bg_morans_I,esf_cross_bg_z_norm,esf_cross_bg_p_norm
cos-seattle,cell,pooled per-degree slope,n_total,slope_deg,249711,507,860.2325267042627,0.013455910717599703,-5.5364854390432956e-05,3.6952442885753847,0.0002196754722248084,0.001,18063,0.03189194337731593,-8.988764044943821e-05,3.993078762678561,6.522089212643469e-05,0.001,11126,0.0039894659442849326,1.1062344060278388,0.26862507447502804,0.029079160764105987,3.641889910776957,0.0002706438163251239
cos-seattle,cell,relative height (TPI 500 m),n_total,tpi_500_z,249711,507,860.2325267042627,0.015715406876108104,-5.5364854390432956e-05,4.313201507366413,1.6090733520102016e-05,0.001,18063,0.03673709468890866,-8.988764044943821e-05,4.598018198245528,4.2652874648377096e-06,0.001,11126,0.006857157657935666,1.890529076786447,0.05868723556719907,0.03520369929036583,4.4065667270239715,1.0502196560627408e-05
cos-seattle,cell,theft (all loot classes),n_theft,slope_deg,157510,507,860.2325267042627,0.009738748488910114,-5.5364854390432956e-05,2.678625063981319,0.007392511960743796,0.013,18063,0.032034933477005305,-8.988764044943821e-05,4.010931734574566,6.0479597076386686e-05,0.002,11126,0.0011297264157892335,0.3241146051857877,0.7458512699407118,0.027591660762197573,3.4561686910067255,0.0005479123063895882
cos-seattle,cell,no-loot (vandalism/arson),n_NO_LOOT,slope_deg,33106,507,860.2325267042627,0.03134611198869378,-5.5364854390432956e-05,8.58809572338163,8.842258891684781e-18,0.001,18063,0.04989330566799677,-8.988764044943821e-05,6.240631675526851,4.3580735067581597e-10,0.001,11126,0.02031645454672024,5.571557540126115,2.5247195080905626e-08,0.04574848395994265,5.723131613434522,1.0457818553499562e-08
cincinnati-oh,cell,pooled per-degree slope,n_total,slope_deg,51147,257,1280.6248474865697,0.3377615825846272,-7.473841554559044e-05,80.40471012646884,0.0,0.001,13381,0.2902720956982285,-0.00015167602002123465,26.744986381847504,1.4122437630282816e-157,0.001,6594,0.28921950050331663,68.85174262099736,0.0,0.2720758441165649,25.069302267310253,1.0754771564694906e-138
cincinnati-oh,cell,relative height (TPI 500 m),n_total,tpi_500_z,51147,257,1280.6248474865697,0.3462478317148428,-7.473841554559044e-05,82.42442902275542,0.0,0.001,13381,0.307474887407036,-0.00015167602002123465,28.329183251338492,1.5109498682640013e-176,0.001,6594,0.2959696513808174,70.45827185091724,0.0,0.28426033157998193,26.19136589643708,3.33292948007813e-151
cincinnati-oh,cell,theft (all loot classes),n_theft,slope_deg,50684,257,1280.6248474865697,0.3367286562030511,-7.473841554559044e-05,80.15887466968098,0.0,0.001,13381,0.2901104290396158,-0.00015167602002123465,26.730098576495298,2.103911759796985e-157,0.001,6594,0.28836177584958766,68.64760500208406,0.0,0.27152709642558664,25.018768354623102,3.8203763653862966e-138
sfgov,cell,pooled per-degree slope,n_total,slope_deg,170441,513,500.0,-0.07282515776550344,-0.0001375894331315355,-12.635204453970657,1.3504268065264604e-36,0.001,7269,-0.08329745892890497,-0.00016281341582546403,-8.196524710423384,2.4743643677374155e-16,0.001,6143,-0.08588621833026512,-14.905595036674471,3.0310029923165243e-50,-0.09100026102456617,-8.955969913165662,3.367618334269094e-19
sfgov,cell,relative height (TPI 500 m),n_total,tpi_500_z,170441,513,500.0,-0.07544694014440059,-0.0001375894331315355,-13.090946159893564,3.7095785699552387e-39,0.001,7269,-0.08128210284534021,-0.00016281341582546403,-7.997823966139321,1.2663724236015055e-15,0.001,6143,-0.0883011734056537,-15.325384167398488,5.174769319383891e-53,-0.08929597977575632,-8.787939084584293,1.5232852395412373e-18
sfgov,cell,theft (all loot classes),n_theft,slope_deg,116099,513,500.0,-0.07049903527272469,-0.0001375894331315355,-12.230856998751827,2.1268281904314154e-34,0.001,7269,-0.07458909747680785,-0.00016281341582546403,-7.3379380238634155,2.1690956147685062e-13,0.001,6143,-0.08263733849746002,-14.340845632124749,1.2156510029684657e-46,-0.08103481772373183,-7.973443293108554,1.5431343502631891e-15
sfgov,cell,no-loot (vandalism/arson),n_NO_LOOT,slope_deg,28314,513,500.0,-0.06687109589871965,-0.0001375894331315355,-11.600216068138263,4.110391554655973e-31,0.001,7269,-0.06523639153700427,-0.00016281341582546403,-6.415823244016753,1.400638818625644e-10,0.001,6143,-0.08324537863915095,-14.44654061797647,2.635965946522765e-47,-0.07334458682284915,-7.21523752680106,5.383991436360216e-13
sfgov,segment,pooled per-degree slope,n_total,slope_deg,298343,511,557.821774799758,-0.02501412243585485,-8.585164835164836e-05,-5.61661057210349,1.947396479088297e-08,0.001,11649,-0.014605852132682694,-0.00011101243339253997,-1.6928426486060024,0.09048542228491926,0.037,9009,-0.039221085413547734,-8.817593870872644,1.1694554313791706e-18,-0.024447017625799778,-2.8421857944673654,0.004480537190908039
