city,expo,n,events,slope_sd,tpi_500_z,tpi_500_z_z,slope_deg_z,slope_deg_z_z
baltimore,bldg,10180,96511,2.1547163,-2.9677346906007873,-1.6073444836520419,-15.778935991638676,-6.7903071374109265
charlotte,bldg,54864,149577,1.8100202,18.006422994697346,6.922856579535808,-31.16738114870794,-10.785241774337335
cos-data_seattle_gov,bldg,18888,249711,4.0962243,-10.648690148915641,-4.728726244586723,-21.246623641321637,-8.741303582959327
data_cincinnati-oh_gov,bldg,24953,68462,3.3620226,0.9157179047409425,0.3296468578558834,-18.362555996477703,-7.0888351015967626
data_cityofchicago_org,bldg,62847,187862,0.9250653,2.728206583264825,1.0274531235721223,-18.47823259522674,-9.759769613121183
data_kcmo_org,bldg,41480,77958,1.9838147,-4.7764232836306935,-2.533953082841125,-25.85744268059956,-8.85613498356243
data_montgomerycountymd_gov,bldg,39188,93906,1.9561207,9.480971375129688,3.6702059173902466,-37.878307329509376,-14.708580757553367
data_sfgov_org,bldg,7276,170441,4.5397367,-7.314132330879886,-2.486147629489291,-27.943500743338156,-6.846740960933374
pittsburgh,bldg,21674,44316,4.823143,-1.763957883153311,-0.4058632637619486,-37.97050068969071,-9.59374323171522
