city,theft,noloot,gap,nt,nn
cityofchicago,-0.1444974126113885,-6.859474800616994,6.714977388005606,134017,48194
kcmo,1.398082443969395,1.859494577150289,-0.461412133180894,51437,14463
montgomerycountymd,21.667572770234855,18.014888514211826,3.6526842560230293,81049,19504
sfgov,-9.396715105432795,-12.269918166161487,2.8732030607286916,128645,31154
