contrast,k,diff_pp,lo,hi,tau2,I2,margin_log,margin_pct,tost_p,equivalent
vandalism only,4,0.09042071600611212,-2.280662322067173,2.5190362231590324,0.00016972366467888728,0.7157064996543462,0.03419295643323246,3.4784255744870984,4.960256703150264e-06,True
hour x day matched,4,0.09793332605931848,-2.247121558787901,2.4992451979194863,0.00016836029331996518,0.7158709625486,0.03419295643323246,3.4784255744870984,4.120968582389029e-06,True
