slope_sd,pct
0.9250653,-18.748686976021578
0.991134413559322,-18.53485532049629
1.057203527118644,-18.320460917426352
1.123272640677966,-18.105502285811205
1.1893417542372882,-17.88997794075271
1.25541086779661,-17.67388639344486
1.3214799813559321,-17.457226151163518
1.3875490949152542,-17.239995717256118
1.4536182084745763,-17.022193591131263
1.5196873220338982,-16.80381826824844
1.5857564355932203,-16.584868240107575
1.6518255491525422,-16.365341994238626
1.7178946627118643,-16.145238014191133
1.7839637762711864,-15.924554779523747
1.8500328898305085,-15.703290765793732
1.9161020033898306,-15.481444444546423
1.9821711169491525,-15.259014283304662
2.0482402305084744,-15.035998745558244
2.1143093440677965,-14.812396290753272
2.1803784576271186,-14.588205374281504
2.2464475711864407,-14.363424447469741
2.3125166847457628,-14.138051957569076
2.3785857983050844,-13.912086347744157
2.444654911864407,-13.685526057062491
2.5107240254237286,-13.458369520483638
2.5767931389830507,-13.230615168848347
2.642862252542373,-13.0022614288678
2.708931366101695,-12.773306723112709
2.775000479661017,-12.543749470002364
2.8410695932203387,-12.313588083793825
2.9071387067796612,-12.082820974570863
2.973207820338983,-11.851446548233014
3.039276933898305,-11.619463206484593
3.105346047457627,-11.386869346823602
3.171415161016949,-11.153663362530708
3.2374842745762713,-10.919843642658122
3.303553388135593,-10.685408572018474
3.369622501694915,-10.450356531173632
3.435691615254237,-10.214685896423559
3.5017607288135593,-9.978395039795075
3.5678298423728814,-9.741482329030603
3.6338989559322035,-9.503946127576912
3.699968069491525,-9.265784794573783
3.7660371830508472,-9.026996684842715
3.8321062966101693,-8.787580148875529
3.8981754101694914,-8.547533532822971
3.9642445237288135,-8.30685517848333
4.030313637288136,-8.065543423290922
4.096382750847457,-7.82359660030465
4.16245186440678,-7.581013038196471
4.2285209779661015,-7.337791061239873
4.294590091525423,-7.093928989298259
4.360659205084746,-6.849425137813359
4.426728318644068,-6.6042778177936245
4.49279743220339,-6.358485335802522
4.5588665457627116,-6.112045993946835
4.624935659322034,-5.864958089864947
4.691004772881356,-5.617219916715122
4.757073886440677,-5.368829763163618
4.823143,-5.119785913372965
