city,slope_sd,qualifies,beta,se,pct_per_deg,lo,hi,z,n,events
Pittsburgh,5.8710737,True,-0.10718518833970146,0.008470715363485053,-10.164070808086201,-11.643267758863818,-8.660110338290949,-12.65361704889148,29894,48040
Baltimore,2.8589602,False,-0.15138110804794888,0.013899502270511408,-14.047993378311807,-16.35797764988698,-11.674213096250552,-10.891117185477396,13801,105256
Charlotte,2.0974834,False,-0.23237731487544683,0.015191005841999249,-20.735301062367807,-23.060569173995383,-18.339758557845652,-15.297032816153816,78738,193887
