city,n_cells,n_bg,n_events,rho_income,rho_value,rho_abs_income,relief_sd,relief_p99,tpi_sd,bg_area_km2,exposure_median,share_zero,beta,se,pct,lo,hi,z,pct_per_10m,beta_50,se_50,beta_100,se_100,beta_250,se_250,beta_500,se_500,beta_1000,se_1000,beta_2000,se_2000
data_brla_gov,13265,81,12829,0.005877053278673426,-0.06081972187634785,-0.1884918375459431,4.2234416007995605,15.452406883239746,0.7846868634223938,1.106037,11.597886960320928,0.7862796833773087,0.20653401824222611,0.06615672103379609,22.940955585777534,7.989827298146657,39.962058820734136,3.1218901876457634,1290.2331076503572,0.07448554115478341,0.04862073978598296,0.10575326222346726,0.044775098951995204,0.1682499841175974,0.049975239653179446,0.20653401824222611,0.06615672103379609,0.13934326597215055,0.09566036842248855,0.08186617762957722,0.12808295321791535
data_buffalony_gov,7863,218,52383,0.02864545568131859,0.06280242468363961,0.12095870705290206,8.350751876831055,35.804168701171875,1.3003666400909424,0.261825,33.66332504685759,0.4177794734834033,0.06036213529837047,0.04740096768209521,6.22211446740395,-3.2019911219296704,16.563736513824836,1.2734367724980242,59.07302712447742,-0.028337408263595328,0.02660432150570474,-0.02848687197445081,0.027527243830256797,0.0010605372182916275,0.03475260499902528,0.06036213529837047,0.04740096768209521,0.1451477425956033,0.05861361759453421,0.20663551958341606,0.08281759100565796
data_cincinnati-oh_gov,19283,256,58702,0.04209022919088318,0.029415422907761054,-0.07775937262552092,39.2861213684082,134.15504455566406,9.580477714538574,0.55222,19.171705074465414,0.5242960120313229,0.0772613292167449,0.04280036405395328,8.032435982532316,-0.660547165211478,17.486123501505514,1.8051558888459645,8.398552294709805,0.01089925788368255,0.014153783270979447,0.015028104821270266,0.016555784845152664,0.0356730853301086,0.028802759271133627,0.0772613292167449,0.04280036405395328,0.15073174851251503,0.05603766469987161,0.22075179139164727,0.06716949758607556
data_cityofchicago_org,46563,1692,216384,0.029614477577171745,0.02541792964524799,0.16752833801536943,5.360146522521973,23.406890869140625,0.9954999089241028,0.173457,52.983799060712485,0.42602495543672014,-0.0264367469140007,0.03312404514851028,-2.6090355322196834,-8.731080260377954,3.923657549841475,-0.798113479059476,-23.322550094908546,-0.028534702286180488,0.019885928872885962,-0.013420361044660553,0.020544742217974424,-0.0044178268416551645,0.02575827782432174,-0.0264367469140007,0.03312404514851028,-0.04626433642456611,0.041041827691612326,-0.003121768251250343,0.0647361826506309
data_kcmo_org,46301,441,92022,-0.013028782055500236,-0.020421190960728728,0.12803036695562395,21.082904815673828,90.34234619140625,5.6886701583862305,0.760564,13.016486224384352,0.7405887561823719,0.027706526579327883,0.025108126078351254,2.809392190391846,-2.127580817863506,7.995400654068829,1.1034884281235557,4.991032040957966,0.005208566124844567,0.021427437667595937,0.013613275358218524,0.022612122737799906,0.02487883941023059,0.02370458965831026,0.027706526579327883,0.025108126078351254,0.03615423697839789,0.028058788189364997,0.08719344170052896,0.03542157711682093
data_marincounty_gov,12894,95,3392,0.020199048441085325,0.06068597447247686,0.11653534941057757,65.39351654052734,279.5726623535156,21.332717895507812,0.921735,13.55369984796672,0.9432294090274547,-0.5194779217210339,0.12280602463166193,-40.5168984728246,-53.241668395786334,-24.329221212559162,-4.230068706149631,-21.61301662588837,-0.18564289089551217,0.03472677929401363,-0.21630367716346846,0.036811459173177616,-0.3723214575756367,0.07646706927339017,-0.5194779217210339,0.12280602463166193,-0.67810233813815,0.1398695319845628,-0.9337530801116076,0.1837229857726928
data_montgomerycountymd_gov,51419,543,120780,-0.0029286129906910957,-0.01412498643294586,-0.26809672771245274,31.157556533813477,172.85467529296875,5.486063003540039,0.685434,18.074822048417378,0.7597386180205761,0.18827030643334264,0.02618790060816389,20.715977430573872,14.676165877546744,27.073896266983976,7.189209599132613,40.94213979328016,0.02644908025339969,0.01913518375841059,0.04283400499704285,0.019436320324964118,0.1006277190233739,0.021974366183217072,0.18827030643334264,0.02618790060816389,0.29910365636695585,0.033571985368576744,0.4221578213810614,0.04227929120723761
data_princegeorgescountymd_gov,53449,365,38904,0.006966401194129108,-0.007216346071640256,-0.1340525543382801,21.18955421447754,87.29634857177734,5.054052352905273,1.03445,12.942277858820473,0.7929053864431514,0.1848899111411747,0.022862867806272946,20.308598647367383,15.036431774096659,25.822391091867523,8.08690811265794,44.170303935275435,0.10167459640050806,0.017343817222318328,0.1135856910368366,0.017221779530371243,0.15375007058971707,0.019193362094826506,0.1848899111411747,0.022862867806272946,0.2105601111206202,0.03121574317206794,0.2658011063555346,0.03878867465523302
data_sfgov_org,8194,516,187448,0.054457047004639735,0.045736931814884675,0.10733562943964467,49.11898422241211,216.18324279785156,11.273233413696289,0.123509,105.5599491111646,0.4857212594581401,-0.09575015274179646,0.03767503207761478,-9.130897833051987,-15.599192391757477,-2.166887229870018,-2.5414750157223605,-8.14287801598238,-0.09351689966199453,0.021380025472606923,-0.09154255722703201,0.02319452277037828,-0.06466052332461047,0.029710713779588813,-0.09575015274179646,0.03767503207761478,-0.1192514564947298,0.0470012755571693,-0.1440452984563946,0.06015606705392278
data_weho_org,849,30,5666,0.049821124769395785,0.13621127802194888,0.6161882831100864,75.05528259277344,331.8375549316406,7.21848201751709,0.21452,69.02241972164866,0.6148409893992933,0.6678235076105741,0.627010922586433,94.99885633516291,-42.942913435243604,566.4299960157605,1.0650907082380452,152.22662891959416,0.3801955418115446,0.4077620363924463,0.48881299775703196,0.5011491109015273,0.637574379769108,0.6736336685497772,0.6678235076105741,0.627010922586433,0.09770424496528146,0.4745230228801145,-1.0905221241361451,0.8542042048427316
