,corr_income,corr_value
50,0.019953274407351302,0.02288014052782975
100,0.023658039466114177,0.026010746410187233
250,0.03868156545598588,0.03576711744554928
500,0.05748055585965075,0.04691572078370408
1000,0.07294849369124241,0.07017739105600555
2000,0.08478755812232952,0.11111974380366149
