city,slug,n_tiles,tile_m,draws_ok,beta,pct,se_cluster,lo_cluster,hi_cluster,se_spatial_block,lo_spatial_block,hi_spatial_block,se_ratio
Pittsburgh,pittsburgh,409,1000,400,-0.09780416016272578,-9.317352088470566,0.01019457763257654,-11.111333036717841,-7.487164413847214,0.010398617088882636,-10.240307681634631,-6.655830569075949,1.0200145080708487
San Francisco,data_sfgov_org,129,1000,400,-0.07277839435673501,-7.01931423566916,0.010629640404390859,-8.936442532097166,-5.0618253272997515,0.012295926914941942,-9.56064818184148,-5.068928032658182,1.1567585023725524
Seattle,cos-data_seattle_gov,335,1000,400,-0.05895734559825144,-5.725301939204597,0.006744685736940298,-6.963372812381263,-4.4707556247598585,0.008741434340948331,-7.394417489304617,-3.998219967213612,1.296047685820548
Cincinnati,data_cincinnati-oh_gov,493,1000,400,-0.060041563753788524,-5.827460887149261,0.008469877334325924,-7.377910320440373,-4.251057672708214,0.0077971528929993645,-6.690850798607073,-3.6179153540996545,0.9205744764920969
