sample,k,fe_pct,fe_lo,fe_hi,re_pct,re_lo,re_hi,re_lo_normal,re_hi_normal,tau2,tau2_dl,tau2_pm,tau2_lo,tau2_hi,tau_pct,I2,I2_lo,I2_hi,Q,Q_p,pi_lo,pi_hi,method
all nine cities,9,-8.729947793448101,-9.388007563192001,-8.067108935981803,-12.233115698786023,-17.06400727970846,-7.120832255281884,-16.342526404941125,-7.921843095227665,0.005179380022399589,0.0032647705449766105,0.005216992016521972,0.0022474212704179353,0.019807045822474955,7.462085857348755,0.9751474362841147,0.9445237513113686,0.9933797515702638,205.86271346000473,0.0,-26.67204952262,5.048974228713621,REML + Hartung-Knapp
above 3 deg floor,4,-6.6071776902787205,-7.388736315134303,-5.819023389478528,-6.894196616656445,-9.506566873102429,-4.206412287377203,-8.499440716279194,-5.260790846334141,0.00023373388608642151,0.0002170992806942214,0.00023875694151319457,1.8510655963196004e-05,0.004448384827756804,1.540582265523116,0.7514079937037539,0.19314528907923248,0.9829137758559886,11.422608436657605,0.009646994321132363,-13.712971226686221,0.4634270862600154,REML + Hartung-Knapp
below 3 deg floor,5,-14.553135552770103,-15.760476757751285,-13.32849044186517,-16.37341126133538,-22.947354707970902,-9.238595020835739,-21.11773456121272,-11.343743677181306,0.004128322542209529,0.005520016238005601,0.00403809452908308,0.001309776304833164,0.03495067628721203,6.636111311128601,0.9367675234337409,0.8245671607731209,0.9920899820789526,83.23523672014221,0.0,-33.24949071145985,4.769333127266329,REML + Hartung-Knapp
