label,loot_kg,n,pct,lo,hi,z
pocketable (~0.3 kg),0.3,1848,-5.721075107211259,-20.30465629290158,11.531179432612259,-0.6871223920388988
light (~1-3 kg),2.0,94905,-5.151682604301522,-8.98619189377432,-1.155621328410461,-2.5120554077082224
medium (~5-10 kg),7.0,47569,-5.239005672196473,-8.331708620011124,-2.0419611753092592,-3.1786581476091262
heavy (~10-20 kg),14.0,34526,-3.364070587653445,-5.508804918915688,-1.1706556851723837,-2.9883486449095322
very heavy / tools (20 kg+),25.0,6527,-7.4499366979172805,-11.336597901466671,-3.392899274263139,-3.536950752453107
motor vehicle theft,,36029,-2.6898645578269265,-5.296808501943762,-0.01115791363353047,-1.9680539011354823
vandalism / arson,0.0,39516,-5.028915658137844,-8.387803276654315,-1.5468771226327394,-2.8085805580321965
