pool,k,pct,pct_lo,pct_hi,tau2,I2
sampling error only,4,-6.8941966166564566,-9.50656687310244,-4.206412287377203,0.00023373388608642154,0.7514079937037512
with label uncertainty,4,-6.894103596274414,-9.506414592587065,-4.206382075439697,0.00023366474194888576,0.7512575488666213
