beta_a,pct_a,beta_b,pct_b,diff_beta,diff_pct_pts,diff_lo,diff_hi,contains_zero,n_boot_ok,city,control,se_b
-0.10297436972526358,-9.784990445999497,-0.10384765830243674,-9.863739792875293,0.0008732885771731563,0.07874934687579582,-0.018450007325069004,0.021393020237135903,True,300,Pittsburgh,vandalism only,
-0.08000168022539414,-7.688520465558812,-0.08401470679233224,-8.058226568999116,0.0040130265669380966,0.3697061034403033,-0.014967994913726523,0.021511075915142685,True,300,San Francisco,vandalism only,
,,-0.049124841803194874,-4.793773489090558,,,,,,0,San Francisco,arson only,0.027260106958767242
-0.057712119562750824,-5.607835509740699,-0.07312439063468353,-7.051479641988401,0.015412271071932701,1.4436441322477016,0.004366399626974083,0.02652327184586854,False,300,Seattle,vandalism only,
,,-0.09761272700398854,-9.299990761024347,,,,,,0,Seattle,arson only,0.024599710670590476
-0.0659432734347244,-6.3816030713583665,-0.04612040083227482,-4.50730187343521,-0.01982287260244959,-1.874301197923156,-0.040063235421301725,-0.005633723922033576,False,300,Cincinnati,vandalism only,
