city,n_pre,n_post,window_start,window_end,pct_pre,beta_pre,se_pre,pct_post,beta_post,se_post
Pittsburgh,14075,20860,2018-01-01,2023-11-14,-10.074923973822525,-0.10619335096692264,0.013510941214650374,-9.723812024955937,-0.10229645939806704,0.011265801504389368
San Francisco,0,144413,2021-02-02,2026-07-28,,,,-7.73214014506377,-0.080474319042515,0.01016734382376626
Seattle,23728,191054,2019-04-29,2026-08-03,-6.18120774444435,-0.06380500616620688,0.0113863485690304,-5.790177950809738,-0.05964574180319487,0.006926003378545342
Cincinnati,21927,38476,2018-01-01,2025-08-03,-6.219293241430723,-0.06421103600860786,0.010466607249902667,-5.61250469787219,-0.057761586630734524,0.008611002500389
