city,cells,buildings_in_cells,cells_with_no_building,cells_fallback,old_sum,new_sum,pearson_level,spearman_level,pearson_log,n_change_gt_2x,share_change_gt_2x,corr_logratio_tpi_all,corr_logratio_tpi_solid,corr_logratio_tpi_built,corr_hasbldg_tpi,corr_old_tpi,corr_new_tpi,crime_total,crime_share_in_zero_bldg_cells
Seattle,32124,215842,9217,2,460425.2456966359,408028.92128635856,0.7614589816214978,0.65542795534434,0.6389351732511745,15370,0.482468531249019,0.2251408586553217,0.2251355987554609,0.171884792630442,0.1603688926308277,0.0695521035908234,0.2018607395920355,353518.0,0.0262617462194287
Kansas City MO,113943,280961,53097,0,362240.5910742909,365708.92395526,0.6763901782023752,0.6431460638803606,0.6607384675196282,74767,0.6913716098129329,0.1627683933457431,0.1627683933457431,0.1194565164038557,0.13758458539683,0.0382578814916109,0.1483540284921483,138866.0,0.0658404505062434
Cincinnati,46622,188769,11311,0,271797.7143651073,272786.9618066944,0.681077306966216,0.6140919753309427,0.6271348799229454,24834,0.5334564904517431,0.1865044535993667,0.1865044535993667,0.1487845989526607,0.1466420136982361,0.058447095568003,0.1667828969771291,82940.0,0.0314926452857487
Chicago,114567,1071819,27496,56,1663103.9743857398,1649916.2012863513,0.7298628976702685,0.741736593490434,0.7250303750905105,55409,0.4917289362986102,-0.0062580001954645,-0.0062487690385856,-0.0344058819650754,0.0276907627776191,0.0017246387074448,-0.0152579557243756,290339.0,0.0367845862939529
San Francisco,12129,63707,1936,9,409340.0710680519,411008.5911270522,0.7604948610538045,0.7888858640384026,0.7675844749690982,4969,0.4133943427620632,0.005517831135639043,0.005571527501249532,0.025081596410601096,-0.026234646270318202,-0.035501918308380245,-0.019438879845732292,277599.0,0.019351654724980998
Montgomery County MD,110852,208813,53564,225,405030.4061947262,401368.4594105183,0.6599332923582216,0.5871594777107906,0.6713595164216972,78748,0.7217105202863087,0.2652492544915449,0.26527762670103655,0.1907752458403488,0.2366895234774762,0.009082768557213187,0.2097613118074456,159917.0,0.15812577774720638
