city,cells_raw,cells_estimated,dropped_pct,block_groups,singleton_groups,allzero_groups,separated_obs,converged,iterations,max_abs_score,beta_slope,se_slope
baltimore,21820,10180,53.345554537121906,420,0,0,0,True,8,8.077449820120819e-11,-0.08052234015955671,0.01185842385772541
charlotte,111690,54864,50.878323932312654,503,0,19,0,True,9,5.766906951976125e-10,-0.20628025079610302,0.019126159163806004
cos-data_seattle_gov,32124,18888,41.20283899887934,526,0,19,0,True,8,1.0980265585658344e-09,-0.05895734559825144,0.006744685736940298
data_cincinnati-oh_gov,46622,24953,46.47805756938784,416,0,156,0,True,9,1.1279470246705614e-08,-0.060041563753788524,0.008469877334325924
data_cityofchicago_org,114567,62847,45.14388960171777,2386,0,694,0,True,10,1.9407835338824952e-09,-0.22016191872407803,0.022558106128661742
data_kcmo_org,113943,41480,63.595833004221404,602,0,144,0,True,10,2.691183575358018e-10,-0.14995598469248508,0.016932441180132735
data_montgomerycountymd_gov,110852,39188,64.64835997546278,585,0,3,0,True,9,1.0564327190820677e-10,-0.242742582881028,0.016503467389698743
data_sfgov_org,12129,7276,40.01154258388985,515,0,2,0,True,8,4.1950443119276315e-11,-0.07277839435673501,0.010629640404390859
pittsburgh,39025,21674,44.461242793081354,539,0,172,0,True,11,1.2613599054134284e-10,-0.09780416016272578,0.01019457763257654
