city,all,all_b,all_se,excl MASS_3,excl MASS_3_b,excl MASS_3_se
cos-data_seattle_gov,-5.725301939204597,-0.05895734559825144,0.006744685736940298,-6.016966208210994,-0.06205591158536504,0.007292965485902612
data_cincinnati-oh_gov,-5.827460887149261,-0.060041563753788524,0.008469877334325924,-5.589628621777376,-0.05751925257676454,0.008855884986501198
data_sfgov_org,-7.01931423566916,-0.07277839435673501,0.010629640404390859,-6.052754706706742,-0.06243678154525238,0.012190704557687126
pittsburgh,-9.317352088470566,-0.09780416016272578,0.01019457763257654,-9.179061486694984,-0.09628032659822615,0.011040569223565723
