spec,n,pct,lo,hi,z
1. terrain only,8178,-11.29783495540979,-16.81245411799295,-5.417643949278506,-3.66082887036084
2. + SES controls,8178,-9.994066112174771,-15.500691670673117,-4.128586432370174,-3.2689692446207332
3. + block-group FE,8178,-6.3151249818079735,-12.773498814674467,0.6214360074645153,-1.790005589092982
